date,power_demand,load_shed,rainfall,mean_temperature,relativehumidity_2m,windspeed_10m,windspeed_100m,daytime_length
2023-03-31,3685,0,10.7,24.5,84.70833333333333,5.625000000000001,8.570833333333335,12.366666666666667
2023-04-01,3898,0,11.2,23.5,84.625,6.804166666666664,10.162499999999998,12.383333333333333
2023-04-02,4076,0,4.4,24.8,86.83333333333333,8.437500000000002,12.687499999999998,12.416666666666666
2023-04-03,4312,0,0.5,25.9,78.95833333333333,7.112499999999998,11.616666666666669,12.433333333333334
2023-04-04,4614,0,0.8,26.5,75.125,9.116666666666665,15.812500000000002,12.466666666666667
2023-04-05,4741,0,1.3,27.3,75.70833333333333,11.133333333333333,19.804166666666664,12.483333333333333
2023-04-06,4614,0,0,27.9,81.5,11.720833333333333,19.745833333333337,12.5
2023-04-07,4259,0,0,28,71.25,6.6375,10.4,12.516666666666667
2023-04-08,4746,0,0,28.5,65.375,6.570833333333332,9.112499999999999,12.533333333333333
2023-04-09,4879,0,0,29.4,62.708333333333336,4.645833333333333,5.937499999999999,12.566666666666666
2023-04-10,4905,0,0,28.8,58.541666666666664,5.7124999999999995,7.566666666666667,12.583333333333334
2023-04-11,4994,0,0,30.3,62.791666666666664,7.537500000000001,9.7375,12.6
2023-04-12,5144,42,0,29.8,58.166666666666664,5.679166666666667,7.804166666666667,12.633333333333333
2023-04-13,5281,0,0,29.9,57.166666666666664,6.6499999999999995,9.329166666666667,12.65
2023-04-14,4809,0,0,31,55.833333333333336,8.766666666666667,12.666666666666666,12.683333333333334
2023-04-15,5220,60,0,31.7,52.125,7.895833333333335,12.758333333333338,12.7
2023-04-16,5382,10,0,32.6,57.333333333333336,5.729166666666665,7.237500000000001,12.716666666666667
2023-04-17,5312,75,0.1,31.8,54.583333333333336,7.7875000000000005,11.695833333333333,12.75
2023-04-18,5266,0,0,31.9,64.70833333333333,11.4625,19.80416666666667,12.75
2023-04-19,5107,0,0.6,31.3,69.625,11.029166666666667,18.358333333333334,12.783333333333333
2023-04-20,4310,0,1.3,31.2,68.54166666666667,13.158333333333331,20.64166666666667,12.8
2023-04-21,2215,0,1,30.4,71.08333333333333,15.841666666666667,24.04583333333333,12.816666666666666
2023-04-22,3011,0,0.6,29.6,70.25,14.291666666666664,21.854166666666668,12.85
2023-04-23,2433,0,2.4,26.4,68.25,6.925000000000002,10.395833333333334,12.866666666666667
2023-04-24,2662,0,0,27.5,73.04166666666667,10.529166666666669,16.99166666666667,12.9
2023-04-25,3041,0,0,28.9,65.375,6.120833333333334,11.333333333333334,12.9
2023-04-26,3460,0,0.1,30,59.916666666666664,6.670833333333334,11.704166666666667,12.933333333333334
2023-04-27,2434,0,1.7,30.1,56.25,5.416666666666667,7.670833333333332,12.95
2023-04-28,3594,0,0,29.3,60.75,6.129166666666667,9.391666666666667,12.983333333333333
2023-04-29,3058,0,6.8,29.8,64.875,6.25,10.4625,12.983333333333333
2023-04-30,4281,0,0.1,28.8,66.91666666666667,7.916666666666665,11.9125,13
2023-05-01,3605,0,1.1,28.2,68.875,5.954166666666666,10.3375,13.033333333333333
2023-05-02,4414,25,0.4,28.8,69.58333333333333,7.870833333333334,12.720833333333331,13.033333333333333
2023-05-03,4265,0,2.8,28.8,63.875,5.825,9.454166666666667,13.066666666666666
2023-05-04,4579,0,6.4,27.3,69.29166666666667,7.454166666666667,10.858333333333334,13.083333333333334
2023-05-05,4301,0,4.1,27.7,76.95833333333333,7.545833333333334,11.595833333333333,13.1
2023-05-06,4834,15,0,29.6,78.95833333333333,6.120833333333333,10.025,13.116666666666667
2023-05-07,5055,0,0,30.3,70.58333333333333,6.654166666666668,12.220833333333331,13.15
2023-05-08,5303,134,0,31.8,66.79166666666667,7.470833333333331,13.112499999999999,13.15
2023-05-09,5232,172,0,32.2,56.041666666666664,9.620833333333335,14.354166666666666,13.183333333333334
2023-05-10,5064,23,1.3,32.1,54.083333333333336,8.629166666666668,15.345833333333333,13.183333333333334
2023-05-11,5136,60,0.2,32.1,61.75,9.941666666666666,16.587500000000002,13.216666666666667
2023-05-12,4720,0,0,31.5,60.041666666666664,8.595833333333333,14.479166666666666,13.233333333333333
2023-05-13,5141,850,0.1,31.1,60.75,5.004166666666667,7.762500000000002,13.25
2023-05-14,4594,710,1,27.8,63.875,8.079166666666667,12.012500000000001,13.266666666666667
2023-05-15,5142,631,0.8,28.4,60.541666666666664,14.758333333333331,23.77083333333334,13.283333333333333
2023-05-16,4962,253,7.3,27.9,60.041666666666664,12.404166666666663,19.76666666666667,13.3
2023-05-17,4429,0,17.8,29,82.16666666666667,15.516666666666671,23.770833333333332,13.316666666666666
2023-05-18,4519,0,20.5,27,80,13.937500000000002,21.12916666666667,13.316666666666666
2023-05-19,4354,0,6.1,28.2,85.08333333333333,11.104166666666664,17.275,13.333333333333334
2023-05-20,4951,90,12.3,29.2,83.45833333333333,11.204166666666667,18.0125,13.35
2023-05-21,5192,0,0.3,29.6,80.54166666666667,13.4375,21.65416666666667,13.366666666666667
2023-05-22,4837,0,7.6,29.4,77.08333333333333,13.508333333333335,21.962500000000002,13.383333333333333
2023-05-23,3514,0,20.8,28.2,79,11.483333333333334,18.60833333333333,13.383333333333333
2023-05-24,4718,0,42.8,26.6,84.54166666666667,9.958333333333332,15.233333333333336,13.4
2023-05-25,4667,0,12.6,27.8,87.75,6.445833333333333,10.545833333333334,13.416666666666666
2023-05-26,4374,0,43.7,27,82.33333333333333,9.258333333333335,14.816666666666668,13.433333333333334
2023-05-27,4404,0,17.7,27.5,86.91666666666667,7.133333333333334,11.549999999999999,13.433333333333334
2023-05-28,4755,18,1.1,28.2,86.79166666666667,7.520833333333335,12.612500000000004,13.45
2023-05-29,4993,60,0,29.1,78.625,4.904166666666666,7.770833333333332,13.466666666666667
2023-05-30,5158,53,0,30.2,74.16666666666667,5.937500000000001,8.441666666666666,13.483333333333333
2023-05-31,5320,270,0.2,30.8,71.70833333333333,4.833333333333333,6.729166666666667,13.483333333333333
2023-06-01,5473,270,0.4,31.1,74,5.945833333333333,11.045833333333334,13.5
2023-06-02,5050,0,0.5,30.7,77.125,8.958333333333332,15.954166666666664,13.5
2023-06-03,5321,340,0,31.1,76.75,11.912499999999996,19.970833333333335,13.516666666666667
2023-06-04,5332,456,0,31.3,75.54166666666667,9.258333333333331,15.72083333333333,13.533333333333333
2023-06-05,5389,290,0,31.6,74.29166666666667,8.920833333333333,14.279166666666669,13.533333333333333
2023-06-06,5581,500,0.5,31.7,70.75,4.8625,8.091666666666667,13.55
2023-06-07,5725,0,0,32,74.25,5.691666666666667,9.245833333333334,13.55
2023-06-08,5045,43,13.6,29.5,73.75,3.8249999999999997,6.45,13.55
2023-06-09,4103,0,9.8,28.1,88.54166666666667,6.675000000000001,10.199999999999998,13.566666666666666
2023-06-10,4790,25,9.1,27.6,88.875,6.295833333333334,10.320833333333331,13.566666666666666
2023-06-11,5081,90,14.8,28.6,87.33333333333333,6.675000000000001,10.504166666666668,13.583333333333334
2023-06-12,4752,100,1.4,29.2,86.29166666666667,10.441666666666668,16.087500000000002,13.583333333333334
2023-06-13,5235,180,2.4,29.8,84.875,10.429166666666665,16.912500000000005,13.583333333333334
2023-06-14,5422,53,0,31.5,82.375,12.104166666666664,19.504166666666666,13.583333333333334
2023-06-15,5340,20,0.3,31.1,79.54166666666667,18.55833333333333,28.78750000000001,13.583333333333334
2023-06-16,3794,0,1.3,31.1,79.625,24.141666666666666,36.79583333333334,13.583333333333334
2023-06-17,3903,0,0.2,31.2,79.58333333333333,23.8,36.47083333333334,13.6
2023-06-18,4832,30,18.3,29.6,77.25,21.312500000000004,32.358333333333334,13.6
2023-06-19,5046,20,3.4,28.6,83.875,16.520833333333332,25.43333333333334,13.6
2023-06-20,4737,0,5.7,28.8,86.25,13.89583333333333,22.658333333333335,13.583333333333334
2023-06-21,5079,35,2,29.2,84.29166666666667,13.654166666666663,21.816666666666666,13.6
